Country code, Latitude, Longitude, Total mentions, Country name, Region, Continent
MDV, Latitude: 3.25, Longitude: 73, Maldives, Southern and Central Asia, Asia
FIN, Latitude: 64, Longitude: 26, Finland, Nordic Countries, Europe
NER, Latitude: 16, Longitude: 8, Niger, Western Africa, Africa
URY, Latitude: -33, Longitude: -56, Uruguay, South America, South America
ZWE, Latitude: -20, Longitude: 30, Zimbabwe, Eastern Africa, Africa
PHL, Latitude: 13, Longitude: 122, Philippines, Southeast Asia, Asia
SDN, Latitude: 15, Longitude: 30, Sudan, Northern Africa, Africa
RUS, Latitude: 60, Longitude: 100, Russian Federation, Eastern Europe, Europe
CHN, Latitude: 35, Longitude: 105, China, Eastern Asia, Asia
ESP, Latitude: 40, Longitude: -4, Spain, Southern Europe, Europe
SUR, Latitude: 4, Longitude: -56, Suriname, South America, South America
ARG, Latitude: -34, Longitude: -64, Argentina, South America, South America
SLV, Latitude: 13.8333, Longitude: -88.9167, El Salvador, Central America, North America
MYS, Latitude: 2.5, Longitude: 112.5, Malaysia, Southeast Asia, Asia
NPL, Latitude: 28, Longitude: 84, Nepal, Southern and Central Asia, Asia
PRT, Latitude: 39.5, Longitude: -8, Portugal, Southern Europe, Europe
COL, Latitude: 4, Longitude: -72, Colombia, South America, South America
BLR, Latitude: 53, Longitude: 28, Belarus, Eastern Europe, Europe
MAR, Latitude: 32, Longitude: -5, Morocco, Northern Africa, Africa
LCA, Latitude: 13.8833, Longitude: -61.1333, Saint Lucia, Caribbean, North America
EGY, Latitude: 27, Longitude: 30, Egypt, Northern Africa, Africa
MEX, Latitude: 23, Longitude: -102, Mexico, Central America, North America
BEL, Latitude: 50.8333, Longitude: 4, Belgium, Western Europe, Europe
BRN, Latitude: 4.5, Longitude: 114.6667, Brunei, Southeast Asia, Asia
RWA, Latitude: -2, Longitude: 30, Rwanda, Eastern Africa, Africa
CAN, Latitude: 60, Longitude: -95, Canada, North America, North America
ALB, Latitude: 41, Longitude: 20, Albania, Southern Europe, Europe
GRC, Latitude: 39, Longitude: 22, Greece, Southern Europe, Europe
KNA, Latitude: 17.3333, Longitude: -62.75, Saint Kitts and Nevis, Caribbean, North America
GUY, Latitude: 5, Longitude: -59, Guyana, South America, South America
LBR, Latitude: 6.5, Longitude: -9.5, Liberia, Western Africa, Africa
ATG, Latitude: 17.05, Longitude: -61.8, Antigua and Barbuda, Caribbean, North America
MOZ, Latitude: -18.25, Longitude: 35, Mozambique, Eastern Africa, Africa
JPN, Latitude: 36, Longitude: 138, Japan, Eastern Asia, Asia
YDYE, Democratic Yemen, Middle East
GAB, Latitude: -1, Longitude: 11.75, Gabon, Central Africa, Africa
BGD, Latitude: 24, Longitude: 90, Bangladesh, Southern and Central Asia, Asia
SWE, Latitude: 62, Longitude: 15, Sweden, Nordic Countries, Europe
TUR, Latitude: 39, Longitude: 35, Turkey, Middle East, Asia
TCD, Latitude: 15, Longitude: 19, Chad, Central Africa, Africa
SYR, Latitude: 35, Longitude: 38, Syria, Middle East, Asia
CMR, Latitude: 6, Longitude: 12, Cameroon, Central Africa, Africa
JAM, Latitude: 18.25, Longitude: -77.5, Jamaica, Caribbean, North America
LUX, Latitude: 49.75, Longitude: 6.1667, Luxembourg, Western Europe, Europe
ITA, Latitude: 42.8333, Longitude: 12.8333, Italy, Southern Europe, Europe
AGO, Latitude: -12.5, Longitude: 18.5, Angola, Central Africa, Africa
CRI, Latitude: 10, Longitude: -84, Costa Rica, Central America, North America
CSK, Czechoslovakia, Eastern Europe
BFA, Latitude: 13, Longitude: -2, Burkina Faso, Western Africa, Africa
MNG, Latitude: 46, Longitude: 105, Mongolia, Eastern Asia, Asia
BHR, Latitude: 26, Longitude: 50.55, Bahrain, Middle East, Asia
HTI, Latitude: 19, Longitude: -72.4167, Haiti, Caribbean, North America
OMN, Latitude: 21, Longitude: 57, Oman, Middle East, Asia
CIV, Latitude: 8, Longitude: -5, Côte dIvoire, Western Africa, Africa
TGO, Latitude: 8, Longitude: 1.1667, Togo, Western Africa, Africa
CYP, Latitude: 35, Longitude: 33, Cyprus, Middle East, Asia
MUS, Latitude: -20.2833, Longitude: 57.55, Mauritius, Eastern Africa, Africa
MMR, Latitude: 22, Longitude: 98, Myanmar, Southeast Asia, Asia
ARE, Latitude: 24, Longitude: 54, United Arab Emirates, Middle East, Asia
GTM, Latitude: 15.5, Longitude: -90.25, Guatemala, Central America, North America
GRD, Latitude: 12.1167, Longitude: -61.6667, Grenada, Caribbean, North America
LBY, Latitude: 25, Longitude: 17, Libyan Arab Jamahiriya, Northern Africa, Africa
LKA, Latitude: 7, Longitude: 81, Sri Lanka, Southern and Central Asia, Asia
TZA, Latitude: -6, Longitude: 35, Tanzania, Eastern Africa, Africa
SGP, Latitude: 1.3667, Longitude: 103.8, Singapore, Southeast Asia, Asia
NOR, Latitude: 62, Longitude: 10, Norway, Nordic Countries, Europe
LAO, Latitude: 18, Longitude: 105, Laos, Southeast Asia, Asia
ISL, Latitude: 65, Longitude: -18, Iceland, Nordic Countries, Europe
AFG, Latitude: 33, Longitude: 65, Afghanistan, Southern and Central Asia, Asia
CHL, Latitude: -30, Longitude: -71, Chile, South America, South America
DMA, Latitude: 15.4167, Longitude: -61.3333, Dominica, Caribbean, North America
UKR, Latitude: 49, Longitude: 32, Ukraine, Eastern Europe, Europe
KEN, Latitude: 1, Longitude: 38, Kenya, Eastern Africa, Africa
BLZ, Latitude: 17.25, Longitude: -88.75, Belize, Central America, North America
FRA, Latitude: 46, Longitude: 2, France, Western Europe, Europe
MLI, Latitude: 17, Longitude: -4, Mali, Western Africa, Africa
VCT, Latitude: 13.25, Longitude: -61.2, Saint Vincent and the Grenadines, Caribbean, North America
VEN, Latitude: 8, Longitude: -66, Venezuela, South America, South America
MLT, Latitude: 35.8333, Longitude: 14.5833, Malta, Southern Europe, Europe
GHA, Latitude: 8, Longitude: -2, Ghana, Western Africa, Africa
GIN, Latitude: 11, Longitude: -10, Guinea, Western Africa, Africa
GBR, Latitude: 54, Longitude: -2, United Kingdom, British Islands, Europe
ISR, Latitude: 31.5, Longitude: 34.75, Israel, Middle East, Asia
YUG, Yugoslavia, Southern Europe
BRB, Latitude: 13.1667, Longitude: -59.5333, Barbados, Caribbean, North America
IRQ, Latitude: 33, Longitude: 44, Iraq, Middle East, Asia
HUN, Latitude: 47, Longitude: 20, Hungary, Eastern Europe, Europe
AUT, Latitude: 47.3333, Longitude: 13.3333, Austria, Western Europe, Europe
POL, Latitude: 52, Longitude: 20, Poland, Eastern Europe, Europe
GNB, Latitude: 12, Longitude: -15, Guinea-Bissau, Western Africa, Africa
BWA, Latitude: -22, Longitude: 24, Botswana, Southern Africa, Africa
MRT, Latitude: 20, Longitude: -12, Mauritania, Western Africa, Africa
SWZ, Latitude: -26.5, Longitude: 31.5, Swaziland, Southern Africa, Africa
DNK, Latitude: 56, Longitude: 10, Denmark, Nordic Countries, Europe
DOM, Latitude: 19, Longitude: -70.6667, Dominican Republic, Caribbean, North America
MDG, Latitude: -20, Longitude: 47, Madagascar, Eastern Africa, Africa
NIC, Latitude: 13, Longitude: -85, Nicaragua, Central America, North America
BDI, Latitude: -3.5, Longitude: 30, Burundi, Eastern Africa, Africa
CUB, Latitude: 21.5, Longitude: -80, Cuba, Caribbean, North America
IRN, Latitude: 32, Longitude: 53, Iran, Southern and Central Asia, Asia
PAK, Latitude: 30, Longitude: 70, Pakistan, Southern and Central Asia, Asia
SEN, Latitude: 14, Longitude: -14, Senegal, Western Africa, Africa
BGR, Latitude: 43, Longitude: 25, Bulgaria, Eastern Europe, Europe
YEM, Latitude: 15, Longitude: 48, Yemen, Middle East, Asia
STP, Latitude: 1, Longitude: 7, Sao Tome and Principe, Central Africa, Africa
NLD, Latitude: 52.5, Longitude: 5.75, Netherlands, Western Europe, Europe
VUT, Latitude: -16, Longitude: 167, Vanuatu, Melanesia, Oceania
BOL, Latitude: -17, Longitude: -65, Bolivia, South America, South America
PNG, Latitude: -6, Longitude: 147, Papua New Guinea, Melanesia, Oceania
SLB, Latitude: -8, Longitude: 159, Solomon Islands, Melanesia, Oceania
DEU, Latitude: 51, Longitude: 9, Germany, Western Europe, Europe
ROU, Latitude: 46, Longitude: 25, Romania, Eastern Europe, Europe
KHM, Latitude: 13, Longitude: 105, Cambodia, Southeast Asia, Asia
TUN, Latitude: 34, Longitude: 9, Tunisia, Northern Africa, Africa
BRA, Latitude: -10, Longitude: -55, Brazil, South America, South America
IND, Latitude: 20, Longitude: 77, India, Southern and Central Asia, Asia
IDN, Latitude: -5, Longitude: 120, Indonesia, Southeast Asia, Asia
AUS, Latitude: -27, Longitude: 133, Australia, Australia and New Zealand, Oceania
COD, Latitude: 0, Longitude: 25, Congo, The Democratic Republic of the, Central Africa, Africa
HND, Latitude: 15, Longitude: -86.5, Honduras, Central America, North America
GNQ, Latitude: 2, Longitude: 10, Equatorial Guinea, Central Africa, Africa
FJI, Latitude: -18, Longitude: 175, Fiji Islands, Melanesia, Oceania
IRL, Latitude: 53, Longitude: -8, Ireland, British Islands, Europe
DZA, Latitude: 28, Longitude: 3, Algeria, Northern Africa, Africa
USA, Latitude: 38, Longitude: -97, United States, North America, North America
LSO, Latitude: -29.5, Longitude: 28.5, Lesotho, Southern Africa, Africa
GMB, Latitude: 13.4667, Longitude: -16.5667, Gambia, Western Africa, Africa
PER, Latitude: -10, Longitude: -76, Peru, South America, South America
DDR, East Germany, Western Europe
THA, Latitude: 15, Longitude: 100, Thailand, Southeast Asia, Asia
JOR, Latitude: 31, Longitude: 36, Jordan, Middle East, Asia
COG, Latitude: -1, Longitude: 15, Congo, Central Africa, Africa
NGA, Latitude: 10, Longitude: 8, Nigeria, Western Africa, Africa
ECU, Latitude: -2, Longitude: -77.5, Ecuador, South America, South America
SAU, Latitude: 25, Longitude: 45, Saudi Arabia, Middle East, Asia
QAT, Latitude: 25.5, Longitude: 51.25, Qatar, Middle East, Asia
SYC, Latitude: -4.5833, Longitude: 55.6667, Seychelles, Eastern Africa, Africa
ETH, Latitude: 8, Longitude: 38, Ethiopia, Eastern Africa, Africa
TTO, Latitude: 11, Longitude: -61, Trinidad and Tobago, Caribbean, North America
PRY, Latitude: -23, Longitude: -58, Paraguay, South America, South America
VNM, Latitude: 16, Longitude: 106, Vietnam, Southeast Asia, Asia
NZL, Latitude: -41, Longitude: 174, New Zealand, Australia and New Zealand, Oceania
PAN, Latitude: 9, Longitude: -80, Panama, Central America, North America
